0,0,138
25,0,118.87
50,0,169.16
75,0,184.91
99.99,0,144.02
124.99,0,129.54
149.99,0,126.49
174.99,0,148.84
199.99,0,155.96
224.99,0,157.48
249.99,0,142.49
274.99,0,148.84
299.98,0,136.4
324.98,0,124.21
349.98,0,125.73
374.98,0,125.73
399.98,0,120.4
424.98,0,133.35
449.98,0,124.97
474.97,0,137.16
499.97,0,124.21
524.97,0,130.3
549.97,0,105.92
574.97,0,112.52
599.97,0,129.54
624.97,0,123.44
649.97,0,142.49
674.96,0,149.61
699.96,0,150.11
724.96,0,159
749.96,0,155.45
774.96,0,125.73
799.96,0,140.21
824.96,0,146.3
849.96,0,131.06
874.95,0,148.84
899.95,0,136.4
924.95,0,133.35
949.95,0,139.45
974.95,0,140.21
999.95,0,133.35
1024.95,0,140.21
1049.94,0,131.83
1074.94,0,131.06
1099.94,0,134.87
1124.94,0,118.36
1149.94,0,123.44
1174.94,0,124.21
1199.94,0,114.55
1224.94,0,123.44
1249.93,0,124.21
1274.93,0,119.63
1299.93,0,144.02
1324.93,0,148.34
1349.93,0,146.3
1374.93,0,152.91
1399.93,0,158.24
1424.92,0,139.45
1449.92,0,145.54
1474.92,0,135.64
1499.92,0,128.78
1524.92,0,112.52
1549.92,0,118.87
1574.92,0,121.92
1599.92,0,136.4
1624.91,0,124.21
1649.91,0,130.3
1674.91,0,140.21
1699.91,0,137.16
1724.91,0,144.02
1749.91,0,124.21
1774.91,0,150.11
1799.91,0,119.63
1824.9,0,118.36
1849.9,0,128.02
1874.9,0,125.73
1899.9,0,141.73
1924.9,0,147.07
1949.9,0,137.16
1974.9,0,124.97
1999.89,0,129.54
2024.89,0,144.78
2049.89,0,107.19
2074.89,0,135.64
2099.89,0,97.79
2124.89,0,89.92
2149.89,0,88.65
2174.89,0,96.52
2199.88,0,128.02
2224.88,0,117.6
2249.88,0,118.87
2274.88,0,120.4
2299.88,0,124.97
2324.88,0,116.84
2349.88,0,127.25
2374.87,0,122.68
2399.87,0,118.87
2424.87,0,124.21
2449.87,0,122.68
2474.87,0,122.68
2499.87,0,118.36
2524.87,0,121.16
2549.87,0,121.92
2574.86,0,124.97
2599.86,0,118.87
2624.86,0,139.45
2649.86,0,138.68
2674.86,0,138.68
2699.86,0,142.49
2724.86,0,141.73
2749.85,0,123.44
2774.85,0,127.25
2799.85,0,139.45
2824.85,0,135.64
2849.85,0,134.87
2874.85,0,129.54
2899.85,0,140.21
2924.85,0,124.21
2949.84,0,124.21
2974.84,0,124.21
2999.84,0,143.26
3024.84,0,137.92
3049.84,0,132.59
3074.84,0,139.45
3099.84,0,144.78
3124.84,0,147.57
3149.83,0,149.61
3174.83,0,152.15
3199.83,0,143.26
3224.83,0,145.54
3249.83,0,138.68
3274.83,0,116.08
3299.83,0,118.87
3324.82,0,124.21
3349.82,0,124.97
3374.82,0,131.83
3399.82,0,137.16
3424.82,0,132.59
3449.82,0,129.54
3474.82,0,127.25
3499.82,0,124.21
3524.81,0,116.08
3549.81,0,124.97
3574.81,0,118.87
3599.81,0,112.52
3624.81,0,107.95
3649.81,0,105.16
3674.81,0,107.95
3699.8,0,95.76
3724.8,0,99.31
3749.8,0,101.35
3774.8,0,95.76
3799.8,0,98.55
3824.8,0,89.15
3849.8,0,89.92
3874.8,0,84.84
3899.79,0,92.71
3924.79,0,92.2
3949.79,0,118.87
3974.79,0,117.6
3999.79,0,130.3
